"ART_CODIGO";"ART_PROV";"ART_SUSTITUTO";"ART_LINEA";"ART_MARCA";"ART_GRUPO";"ART_IMPU";"ART_CODIGO_FABRICA";"ART_DESC";"ART_DESC_ABREV";"ART_UNID_MED";"ART_TIPO";"ART_EMPAQUE";"ART_CONTENIDO";"ART_DATOS_TEC";"ART_FACTOR_CONVERSION";"ART_EST";"ART_COD_ESTADISTICA";"ART_TIPO_COMISION";"ART_IND_IMP";"ART_CUAD_DEMO";"ART_RUBRO";"ART_IND_EN_LINEA";"ART_IND_CON_ROTACION";"ART_COD_ALFANUMERICO";"ART_PAIS";"ART_MINIMO_EXIGIDO_PROV";"ART_SECUENCIA";"ART_KG_UNID";"ART_KG_CONTENIDO";"ART_COLOR";"ART_NRO_MOTOR";"ART_NRO_CHASSIS";"ART_MODELO";"ART_CLAS_SUBGRUPO";"ART_CLASIFICACION";"ART_DPTO";"ART_SECCION";"ART_SECTOR";"ART_MAX_PORC_DCTO_VTA";"ART_M3_CAJA";"ART_CATEG_INDICES";"ART_MAX_PORC_DCTO";"ART_IND_MAX_POR_GRART";"ART_PRECIO_METRO_LINEAL";"ART_IND_COSTO";"ART_IND_M";"ART_IND_P";"ART_IND_V";"ART_IND_E";"ART_PORC_FIJO"
"11492";"384";"";"4";"1";"163";"2";"";"DEST.TRAM.PLANA PRO 5/16X8";"DEST.TRAM.PLANA PRO ";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"44110/043";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11493";"392";"";"4";"1";"96";"2";"";"LIMA MOTOSIERRA NICHOLSON 3/16";"LIMA MOTOSIERRA NICH";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"LMN";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11494";"1595";"";"1";"1";"161";"2";"";"MARCO PTA.GUAJAYVI 0.80X2.10 BLANCO";"MARCO PTA.GUAJAYVI 0.80X2.10 B";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"MPGB080X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11495";"13";"";"4";"1";"82";"1";"";"MORZA ARGENTINO `M`";"MORZA ARGENTINO `M`";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"M11495";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11496";"13";"";"4";"1";"82";"1";"";"MORZA ARGENTINO `L`";"MORZA ARGENTINO `L`";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"L11496";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11497";"13";"";"4";"1";"82";"1";"";"MORZA C/JUNKE ARGENTINO NO4";"MORZA C/JUNKE ARGENT";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"NO4";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11498";"13";"";"4";"1";"82";"1";"";"MORZA C/JUNKE ARGENTINO NO6";"MORZA C/JUNKE ARGENT";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"NO6";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11499";"29";"";"11";"1";"97";"2";"";"LUCIDANTE WILLYS";"LUCIDANTE WILLYS";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"LW11499";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11500";"1595";"";"1";"1";"161";"2";"";"MARCO PTA.GUAJAYVI 80X2.10 BZ VERD OLIVA";"MARCO PTA.GUAJAYVI 80X2.10 BZ";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"MPGBFT080X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"11501";"1595";"";"1";"1";"161";"2";"";"MARCO PTA.GUAJAYVI 0.80X2.10 CRUDO";"MARCO PTA.GUAJAYVI 0.80X2.10 C";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"MPGC080X2.10";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
